complaint_text,category,priority,district,authority_label
Urgent legal help needed. Landlord refusing to return my security deposit.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. Forged property patta documents used to sell my land.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. Pakkathu veetukaaran enga idathula encroaching panran.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. Landlord advance panatha thiruppi tharama emathuran.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. அண்டை வீட்டார் எனது நில எல்லையை ஆக்கிரமித்து கட்டியுள்ளனர்.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. போலி பத்திரம் தயாரித்து எனது வீட்டை விற்க முயல்கிறார்கள்.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. पड़ोसी ने मेरी जमीन पर अवैध कब्जा कर लिया है।,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. मकान मालिक सिक्योरिटी डिपॉजिट वापस नहीं कर रहा है।,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Urgent legal help needed. Colleague continuously stalking and sending inappropriate texts.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. Facing verbal harassment at public bus stop daily.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. Some guys following me home from college metro station.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
"Urgent legal help needed. Office-la oru officer thappa pesuran, stalk panran.",WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. College poitu varra valiyila silaper follow panranga.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. பேருந்து நிலையத்தில் ஒரு நபர் என்னைத் தொடர்ந்து பின்தொடர்கிறார்.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. பணியிடத்தில் எனக்கு தொடர்ந்து பாலியல் தொல்லைகள் வருகின்றன.,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. रास्ते में कुछ लड़के रोज पीछा करते हैं और फब्तियां कसते हैं।,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. ऑफिस में सहकर्मी द्वारा परेशान किया जा रहा है।,WOMEN_SAFETY,HIGH,Coimbatore,Women Helpline
Urgent legal help needed. Husband beats me under the influence of alcohol.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. In-laws abusing and threatening for dowry money.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. Locked inside the house and starved by my husband.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. Enga veetla purushan thittamal adikiraru.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
"Urgent legal help needed. Dowry ketu maamiyaar thollai tharanga, room-la lock panranga.",DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. மது குடித்துவிட்டு கணவர் தினமும் என்னை அடிக்கிறார்.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. வரதட்சணை கேட்டு மாமியார் கொடுமைப்படுத்துகிறார்கள்.,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. पति शराब पीकर रोज मारता-पीटता है।,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. ससुराल वाले दहेज के लिए प्रताड़ित कर रहे हैं।,DOMESTIC_VIOLENCE,HIGH,Coimbatore,Protection Officer
Urgent legal help needed. Gang attacked me with weapons near the market area.,CRIMINAL_COMPLAINT,CRITICAL,Coimbatore,Police Station
Urgent legal help needed. My motorcycle was stolen from outside my house entry.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. Robbers broke into my home and stole gold jewelry.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. Market kitta gang kathi vechu adichanga.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. Enga veetu bike-a thiruditu poitinga.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. இரவில் வீட்டை உடைத்து தங்க நகைகள் திருடப்பட்டுள்ளன.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. சாலையில் சிலர் என்னைத் தாக்கி எனது பணத்தைப் பறித்தனர்.,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. घर के बाहर से मेरी बाइक चोरी हो गई है।,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. कुछ गुंडों ने हथियार दिखाकर मुझे लूटा।,CRIMINAL_COMPLAINT,HIGH,Coimbatore,Police Station
Urgent legal help needed. Filing for divorce and seeking child custody support.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. Parents forcing me to get married against my will.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. Brothers refusing to divide ancestral inheritance fairly.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
"Urgent legal help needed. Divorce venum, aana baby custody thara matengranga.",FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. Enga appa force panni marriage panna soldranga.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. விருப்பம் இல்லாமல் குடும்பத்தினர் திருமணம் செய்ய வற்புறுத்துகிறார்கள்.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. பூர்வீக சொத்தை பிரிப்பதில் சகோதரர்களுக்குள் தகராறு.,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. पैतृक संपत्ति के बंटवारे को लेकर भाइयों में विवाद है।,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. तलाक और बच्चे की कस्टडी के लिए मामला दर्ज करना है।,FAMILY_DISPUTE,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. Denied benefits of housing scheme despite having all eligibility.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. Panchayat office demanding bribe for widow pension approval.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. Ration card distribution office delayed my card for a year.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. Housing scheme-la ellam documents irundhum select aagala.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. Widow pension kuduka bribe panam kekuranga.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. விபத்து நிவாரணத் தொகை பெற தகுதி இருந்தும் கிடைக்கவில்லை.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. ரேஷன் கார்டு வழங்க அதிகாரிகள் லஞ்சம் கேட்கிறார்கள்.,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. पात्र होने के बावजूद आवास योजना की सूची में नाम नहीं है।,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. विधवा पेंशन के लिए सरकारी कर्मचारी रिश्वत मांग रहे हैं।,GOVERNMENT_SCHEME,LOW,Coimbatore,Government Grievance Cell
Urgent legal help needed. I need free legal advice regarding a contract discrepancy.,GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. How to apply for free legal representation in district court.,GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. Need guidance on court procedures for a witness summon.,GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
"Urgent legal help needed. Enaku free lawyer venum, court case pathi legal aid thairya.",GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
"Urgent legal help needed. Court sumons vandhuruku, step by step guidance enna.",GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. இலவச சட்ட உதவி பெற எங்கு விண்ணப்பிக்க வேண்டும்?,GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
"Urgent legal help needed. நீதிமன்ற சம்மன் வந்துள்ளது, என்ன செய்ய வேண்டும் என அறிய வேண்டும்.",GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
"Urgent legal help needed. कोर्ट समन मिला है, कानूनी सहायता की आवश्यकता है।",GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
Urgent legal help needed. सरकारी वकील की सहायता पाने के लिए क्या नियम हैं।,GENERAL_LEGAL_AID,LOW,Coimbatore,District Legal Services Authority
